명칭,지번주소,도로명주소,X좌표(GRS80TM),Y좌표(GRS80TM),위도X좌표(WGS84),경도Y좌표(WGS84),역사_ID,호선,총 면적,구분,주소(혼재)
오금근린공원,,,211638.552,444566.65,127.1323957,37.5038715,,,,,서울특별시 송파구 오금로 363 오금근린공원 
오동근린공원,,,202722.755,459142.96,127.0317269,37.6327957,,,,,서울특별시 강북구 번동 산20-1
봉산도시자연공원,,,192210.059,456538.055,126.9020153,37.604071,,,,,서울특별시 은평구 구산동 산61
온수도시자연공원,,,185881.953,444742.911,126.83695,37.5002598,,,,,서울특별시 구로구 개봉동 산2-60
봉은공원,,,205055.257,446107.569,127.0554961,37.5139026,,,,,서울특별시 강남구 삼성동 75
올림픽공원,,,210704.492,446848.357,127.122959,37.520934,,,,,서울특별시 송파구 올림픽로 424 (방이동)
와룡근린공원,,,199375.724,454648.216,126.9901672,37.5907944,,,,,서울특별시 종로구 와룡공원길 192 (우) 03063
봉화산근린공원,,,207704.38,456624.859,127.0923625,37.6106404,,,,,서울특별시 중랑구 묵동 산46-1
북악산도시자연공원,,,197674.654,454875.702,126.9737295,37.5929992,,,,,서울특별시 종로구 부암동 산2-6
북한산국립공원,,,197794.632,459148.384,127.000938,37.624549,,,,,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대
외국인묘지공원,,,192167.931,449671.831,126.911414,37.546797,,,,,서울특별시 마포구 양화진길 46(외국인묘지공원)
불광근린공원,,,193822.483,457501.131,126.9298962,37.6188016,,,,,서울특별시 은평구 불광동 산33-1
불암산도시자연공원,,,208214.172,462688.18,127.0952714,37.6636719,,,,,서울특별시 노원구 한글비석로12길 51-33(불암산공원) 
용마폭포공원,,,207876.919,452652.907,127.0905888,37.5731968,,,,,서울특별시 중랑구 면목동 산1-4 
사육신공원,,,195483.866,446027.256,126.948636,37.5137049,,,,,서울특별시 동작구 노량진로 191
용왕산근린공원,,,189177.756,449262.403,126.8783125,37.5429593,,,,,서울특별시 양천구 목동 199-51
사직근린공원,,,197219.855,452943.808,126.9674018,37.5759864,,,,,서울특별시 종로구 사직로9길 5
우장산근린공원,,,186055.82,450217.146,126.844932,37.5541932,,,,,서울특별시 강서구 내발산동 산4-5
삼일근린공원,,,197729.062,442960.391,126.9743686,37.4860183,,,,,서울특별시 동작구 사당동 산24-17
삼청근린공원,,,198430.819,454679.963,126.9842875,37.5895821,,,,,서울특별시 종로구 북촌로 134-1 (우) 03050
인왕산도시자연공원,,,196822.477,453849.5,126.9578438,37.5849001,,,,,서울특별시 종로구 옥인동 산 3-1 
상도근린공원,,,194702.393,443757.499,126.9385469,37.492299,,,,,서울특별시 동작구 성대로6사길 27-6(상도공원) 
일자산도시자연공원,,,214150.546,448674.699,127.1574587,37.5431657,,,,,서울특별시 강동구 동남로 660(일자산공원)
쌍문근린공원,,,202427.91,461529.336,127.0271316,37.6531456,,,,,서울특별시 도봉구 쌍문동 산80
수락산도시자연공원,,,206783.262,464439.897,127.0813633,37.699232,,,,,서울특별시 노원구 상계동 산3-1
송파나루근린공원(석촌호수),,,208879.033,445489.931,127.0983002,37.5069328,,,,,서울특별시 송파구 잠실로 148 (잠실동) 
선유도근린공원,,,191237.537,449355.317,126.90014,37.543418,,,,,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소
손기정체육공원,,,196883.067,450696.94,126.9652702,37.5560189,,,,,서울특별시 중구 손기정로 101 
성북근린공원,,,200606.113,455184.289,127.0078625,37.5948509,,,,,서울특별시 성북구 돈암동 616-1055
봉제산공원,,,187196.604,449298.032,126.8517836,37.5421979,,,,,서울특별시 강서구 화곡동 산41-6
서울창포원,,,204168.804,465548.074,127.047938,37.689585,,,,,서울특별시 도봉구 마들로 916(서울창포원) 
북서울꿈의숲,,,203906.355,457859.796,127.0407344,37.6233355,,,,,서울특별시 강북구 월계로 173
서서울호수공원,,,185015.996,447561.645,126.8304789,37.5278392,,,,,서울특별시 양천구 남부순환로64길 20 (신월동)
중랑캠핑숲,,,209617.529,456301.471,127.1093075,37.6049896,,,,,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲)
솔밭근린공원,,,201038.122,461453.329,127.0116241,37.652331,,,,,서울특별시 강북구 우이동 80번지 일대
금천체육공원(관악산),,,191893.277,440957.771,126.908681,37.468164,,,,,서울특별시 금천구 독산동 산118-4(금천체육공원)
금천폭포근린공원,,,191527.957,438576.169,126.9040127,37.4468663,,,,,서울특별시 금천구 시흥대로38길 61(시흥동 937-2)
만수천공원(관악산),,,192002.97,441678.841,126.9090028,37.4734274,,,,,서울특별시 금천구 독산동 산8 일대
발바닥공원,,,202607.063,462217.976,127.031982,37.6597135,,,,,서울특별시 도봉구 시루봉로6길 33
월천근린공원,,,204487.705,204487.705,127.0509895,37.6473889,,,,,서울특별시 도봉구 창동 28번지
용두근린공원,,,203459.991,452629.847,127.0390042,37.5732791,,,,,서울특별시 동대문구 용두동 34-1번지 일대
상암근린공원,,,189914.616,453044.909,126.8859012,37.5760106,,,,,서울특별시 마포구 상암동 1761
와우근린공원,,,193826.626,450327.299,126.9289936,37.5517298,,,,,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산)
금호근린공원,,,201676.873,449998.94,127.0189457,37.5494726,,,,,서울특별시 성동구 장터1길 18
달맞이근린공원,,,201846.361,449360.929,127.0212054,37.543564,,,,,서울특별시 성동구 옥수동 산1-1
문정근린공원,,,211543.221,443164.673,127.1275819,37.4862156,,,,,서울특별시 송파구 문정동 18-4
문화예술공원,,,202696.912,440809.136,127.030517,37.467654,,,,,서울특별시 서초구 바우뫼로12길 40 (양재동)
세종로공원,,,197874.256,452668.898,126.9758875,37.5735,,,,,서울특별시 종로구 세종대로 189 (우) 03172
샘말공원(관악산),,,194554.259,440529.444,126.938511,37.4642128,,,,,서울특별시 관악구 대학동 산63-1일대 샘말공원
초안산생태공원,,,203623.347,461020.286,127.0405382,37.6479483,,,,,서울특별시 도봉구 창동 산24
푸른수목원,,,184391.452,442585.279,126.82407,37.483029,,,,,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소
서오능도시자연공원,,,192105.2416,459771.1303,126.9134338,37.6374823,,,,,서울특별시 은평구 구파발동 갈현동 진관내동
청계산도시자연공원,,,204784.3515,438131.8878,127.0424726,37.4224347,,,,,서울특별시 서초구 원지동 산 33
개화근린공원,,,182939.2547,453560.1285,126.8068278,37.5813917,,,,,서울특별시 강서구 개화동 산17
아차산생태공원,,,208869.3493,450460.3592,127.1010031,37.5517142,,,,,서울특별시 광진구 광장동 370
인능산도시자연공원,,,205898.0861,438764.8767,127.0666632,37.4482109,,,,,서울특별시 서초구 내곡동 산12-404
구룡산,,,204754,440798,127.061567,37.4689473,,,,,서울특별시 서초구 염곡동 산25-1
우면산도시자연공원,,,200745.6,441329.6,127.0091324,37.470484,,,,,서울특별시 서초구 우면동 산35-1
향림근린공원,,,193339.2,458878.4,126.9240693,37.6293824,,,,,서울특별시 은평구 진관동 산55
신사근린공원,,,192065.2,454756.8,126.9102948,37.5920771,,,,,서울특별시 은평구 신사동 산80-4
문화역 서울284,,,197240.8524,450833.9113,126.9715923,37.5558722,,,,,서울특별시 중구 통일로 1 서울역
광평근린공원,,,,,127.092184,37.4880445,,,,,서울특별시 강남구 수서동 산10-1
청담근린공원,,,,,127.052453,37.5213259,,,,,서울특별시 강남구 청담동 66
허브천문공원,,,,,127.1533951,37.5372715,,,,,서울특별시 강동구 둔촌동 산94
연신내물빛공원,,,,,126.9207354,37.619052,,,,,서울특별시 은평구 통일로 849
나들이근린공원,,,,,127.113261,37.6054218,,,,,서울특별시 중구 망우동 산 30-7 일대
숭인근린공원,,,,,127.0178267,37.5764419,,,,,서울특별시 종로구 숭인동 58
서일대뒷산공원,,,,,127.0987817,37.5877155,,,,,서울특별시 중랑구 면목동 산19
용마도시자연공원(사가정공원),,,,,127.095997,37.5797622,,,,,서울특별시 중랑구 면목7동 산50 
문화비축기지,,,114264.4604,3712093.405,126.8932455,37.57171848,,,,,서울특별시 마포구 증산로 87
경춘선숲길,,,127.076482,37.627077,127.076482,37.627077,,,,,노원구 공릉2동 산 82-2
율현공원,,,,,127.115594,37.472332,,,,,서울특별시 강남구 율현동 밤고개로24길(율현동 56)
미사,,,,,127.193877,37.560927,9996,5호선,,,
강일,,,,,127.17593,37.55749,9995,5호선,,,
김포공항,,,,,126.801868,37.56236,4929,김포골드라인,,,
고촌,,,,,126.770345,37.601243,4928,김포골드라인,,,
풍무,,,,,126.732387,37.612488,4927,김포골드라인,,,
사우(김포시청),,,,,126.719731,37.620249,4926,김포골드라인,,,
걸포북변,,,,,126.705975,37.63165,4925,김포골드라인,,,
운양,,,,,126.68393,37.653867,4924,김포골드라인,,,
장기,,,,,126.669017,37.643986,4923,김포골드라인,,,
마산,,,,,126.644344,37.640732,4922,김포골드라인,,,
구래,,,,,126.628633,37.645384,4921,김포골드라인,,,
양촌,,,,,126.614309,37.642379,4920,김포골드라인,,,
원시,,,,,126.786691,37.302371,4815,서해선,,,
원곡,,,,,126.796261,37.31321,4814,서해선,,,
초지,,,,,126.808147,37.319619,4813,서해선,,,
선부,,,,,126.809904,37.334353,4812,서해선,,,
달미,,,,,126.809409,37.348847,4811,서해선,,,
시흥능곡,,,,,126.808573,37.369864,4810,서해선,,,
시흥시청,,,,,126.805625,37.382223,4809,서해선,,,
신현,,,,,126.788017,37.409008,4808,서해선,,,
신천,,,,,126.786788,37.439066,4807,서해선,,,
시흥대야,,,,,126.793041,37.450145,4806,서해선,,,
소새울,,,,,126.797252,37.468467,4805,서해선,,,
소사,,,,,126.795023,37.483279,4804,서해선,,,
신설동,,,,,127.023242,37.576095,4713,우이신설선,,,
보문,,,,,127.019381,37.585286,4712,우이신설선,,,
성신여대입구(돈암),,,,,127.016516,37.592467,4711,우이신설선,,,
정릉,,,,,127.013396,37.603133,4710,우이신설선,,,
북한산보국문,,,,,127.008251,37.612072,4709,우이신설선,,,
솔샘,,,,,127.013626,37.620238,4708,우이신설선,,,
삼양사거리,,,,,127.020473,37.621337,4707,우이신설선,,,
삼양,,,,,127.018106,37.626914,4706,우이신설선,,,
화계,,,,,127.017511,37.634133,4705,우이신설선,,,
가오리,,,,,127.016789,37.641537,4704,우이신설선,,,
4.19민주묘지,,,,,127.013684,37.649502,4703,우이신설선,,,
솔밭공원,,,,,127.013273,37.65603,4702,우이신설선,,,
북한산우이,,,,,127.012706,37.662909,4701,우이신설선,,,
탑석,,,,,127.088704,37.733579,4615,의정부선,,,
송산,,,,,127.087159,37.737279,4614,의정부선,,,
어룡,,,,,127.085035,37.742802,4613,의정부선,,,
곤제,,,,,127.083715,37.750471,4612,의정부선,,,
효자,,,,,127.076902,37.754025,4611,의정부선,,,
경기도청북부청사,,,,,127.071495,37.75059,4610,의정부선,,,
새말,,,,,127.06362,37.748885,4609,의정부선,,,
동오,,,,,127.056947,37.745271,4608,의정부선,,,
의정부중앙,,,,,127.049565,37.743676,4607,의정부선,,,
흥선,,,,,127.037023,37.743302,4606,의정부선,,,
의정부시청,,,,,127.034781,37.739256,4605,의정부선,,,
경전철의정부,,,,,127.043257,37.737202,4604,의정부선,,,
범골,,,,,127.04353,37.728755,4603,의정부선,,,
회룡,,,,,127.047073,37.725006,4602,의정부선,,,
발곡,,,,,127.052803,37.727048,4601,의정부선,,,
전대.에버랜드,,,,,127.219561,37.285342,4517,에버라인선,,,
둔전,,,,,127.21364,37.267051,4515,에버라인선,,,
보평,,,,,127.218457,37.258965,4514,에버라인선,,,
고진,,,,,127.214251,37.24484,4513,에버라인선,,,
운동장.송담대,,,,,127.209198,37.237845,4512,에버라인선,,,
김량장,,,,,127.198781,37.237247,4511,에버라인선,,,
명지대,,,,,127.190294,37.237964,4510,에버라인선,,,
시청.용인대,,,,,127.178406,37.239151,4509,에버라인선,,,
삼가,,,,,127.168075,37.242115,4508,에버라인선,,,
초당,,,,,127.159443,37.260752,4506,에버라인선,,,
동백,,,,,127.152716,37.269043,4505,에버라인선,,,
어정,,,,,127.143714,37.274917,4504,에버라인선,,,
지석,,,,,127.136515,37.269606,4503,에버라인선,,,
강남대,,,,,127.126033,37.270161,4502,에버라인선,,,
기흥,,,,,127.116665,37.275449,4501,에버라인선,,,
광교(경기대),,,,,127.044483,37.30211,4319,신분당선(연장),,,
광교중앙(아주대),,,,,127.051478,37.288617,4318,신분당선(연장),,,
상현,,,,,127.069342,37.297664,4317,신분당선(연장),,,
성복,,,,,127.0801,37.313335,4316,신분당선(연장),,,
수지구청,,,,,127.095026,37.322702,4315,신분당선(연장),,,
동천,,,,,127.102976,37.337928,4314,신분당선(연장),,,
미금,,,,,127.108918,37.349982,4313,신분당선(연장),,,
정자,,,,,127.108403,37.367098,4312,신분당선,,,
판교,,,,,127.112217,37.394761,4311,신분당선,,,
청계산입구,,,,,127.055664,37.447211,4310,신분당선,,,
양재시민의숲(매헌),,,,,127.03842,37.470023,4309,신분당선,,,
양재(서초구청),,,,,127.034653,37.483809,4308,신분당선,,,
강남,,,,,127.028104,37.496837,4307,신분당선,,,
영종,,,,,126.524254,37.51202,4217,공항철도1호선,,,
인천공항2터미널,,,,,126.441442,37.460699,4215,공항철도1호선,,,
인천공항1터미널,,,,,126.452508,37.447464,4213,공항철도1호선,,,
공항화물청사,,,,,126.477516,37.459041,4212,공항철도1호선,,,
운서,,,,,126.49379,37.492904,4211,공항철도1호선,,,
청라국제도시,,,,,126.624648,37.556409,4210,공항철도1호선,,,
검암,,,,,126.674007,37.569098,4209,공항철도1호선,,,
계양,,,,,126.7363,37.571662,4208,공항철도1호선,,,
김포공항,,,,,126.801904,37.561842,4207,공항철도1호선,,,
마곡나루,,,,,126.827378,37.565543,4206,공항철도1호선,,,
디지털미디어시티,,,,,126.898609,37.576958,4204,공항철도1호선,,,
홍대입구,,,,,126.926715,37.557438,4203,공항철도1호선,,,
공덕,,,,,126.952024,37.54253,4202,공항철도1호선,,,
서울역,,,,,126.969769,37.553247,4201,공항철도1호선,,,
중앙보훈병원,,,,,127.148739,37.529191,4138,9호선(연장),,,
둔촌오륜,,,,,127.137989,37.519683,4137,9호선(연장),,,
올림픽공원(한국체대),,,,,127.130288,37.516269,4136,9호선(연장),,,
한성백제,,,,,127.116503,37.516404,4135,9호선(연장),,,
송파나루,,,,,127.112216,37.510372,4134,9호선(연장),,,
석촌,,,,,127.10704,37.505208,4133,9호선(연장),,,
석촌고분,,,,,127.097033,37.502558,4132,9호선(연장),,,
삼전,,,,,127.088025,37.504738,4131,9호선(연장),,,
종합운동장,,,,,127.076275,37.511426,4130,9호선(연장),,,
봉은사,,,,,127.060245,37.514219,4129,9호선(연장),,,
삼성중앙,,,,,127.053282,37.513011,4128,9호선(연장),,,
선정릉,,,,,127.043999,37.510297,4127,9호선(연장),,,
언주,,,,,127.033868,37.507287,4126,9호선(연장),,,
신논현,,,,,127.02506,37.504598,4125,9호선,,,
사평,,,,,127.015259,37.504206,4124,9호선,,,
고속터미널,,,,,127.004403,37.50598,4123,9호선,,,
신반포,,,,,126.995925,37.503415,4122,9호선,,,
구반포,,,,,126.987332,37.501364,4121,9호선,,,
동작(현충원),,,,,126.978153,37.502878,4120,9호선,,,
흑석(중앙대입구),,,,,126.963708,37.50877,4119,9호선,,,
노들,,,,,126.953222,37.512887,4118,9호선,,,
노량진,,,,,126.941005,37.513534,4117,9호선,,,
샛강,,,,,126.928422,37.517274,4116,9호선,,,
여의도,,,,,126.92403,37.52176,4115,9호선,,,
국회의사당,,,,,126.917874,37.528105,4114,9호선,,,
당산,,,,,126.902809,37.533406,4113,9호선,,,
선유도,,,,,126.893525,37.53802,4112,9호선,,,
신목동,,,,,126.88308,37.544277,4111,9호선,,,
염창,,,,,126.874916,37.546936,4110,9호선,,,
등촌,,,,,126.865689,37.550632,4109,9호선,,,
증미,,,,,126.861939,37.557402,4108,9호선,,,
가양,,,,,126.854456,37.561391,4107,9호선,,,
양천향교,,,,,126.841333,37.568381,4106,9호선,,,
마곡나루,,,,,126.82731,37.566778,4105,9호선,,,
신방화,,,,,126.816601,37.567532,4104,9호선,,,
공항시장,,,,,126.810678,37.563726,4103,9호선,,,
김포공항,,,,,126.802152,37.561916,4102,9호선,,,
개화,,,,,126.798153,37.578608,4101,9호선,,,
석남(거북시장),,,,,126.6762813,37.5062285,3763,7호선,,,
산곡,,,,,126.7035277,37.5086,3762,7호선,,,
운연(서창),,,,,126.75997,37.440127,3227,인천2호선,,,
인천대공원,,,,,126.752618,37.448769,3226,인천2호선,,,
남동구청,,,,,126.736939,37.448161,3225,인천2호선,,,
만수,,,,,126.732094,37.454911,3224,인천2호선,,,
모래내시장,,,,,126.719298,37.45583,3223,인천2호선,,,
석천사거리,,,,,126.709986,37.456805,3222,인천2호선,,,
인천시청,,,,,126.701306,37.456833,3221,인천2호선,,,
석바위시장,,,,,126.692575,37.457611,3220,인천2호선,,,
시민공원(문화창작지대),,,,,126.681192,37.458335,3219,인천2호선,,,
주안,,,,,126.679098,37.464992,3218,인천2호선,,,
주안국가산단,,,,,126.68113,37.473703,3217,인천2호선,,,
가재울,,,,,126.683673,37.484192,3216,인천2호선,,,
인천가좌,,,,,126.675208,37.4897,3215,인천2호선,,,
서부여성회관,,,,,126.675795,37.500168,3214,인천2호선,,,
석남(거북시장),,,,,126.676203,37.506193,3213,인천2호선,,,
가정중앙시장,,,,,126.676672,37.517054,3212,인천2호선,,,
가정(루원시티),,,,,126.675539,37.524649,3211,인천2호선,,,
서구청,,,,,126.676787,37.543742,3210,인천2호선,,,
아시아드경기장(공촌사거리),,,,,126.677122,37.5517,3209,인천2호선,,,
검바위,,,,,126.677566,37.561405,3208,인천2호선,,,
검암,,,,,126.675687,37.56866,3207,인천2호선,,,
독정,,,,,126.675844,37.585212,3206,인천2호선,,,
완정,,,,,126.673203,37.592928,3205,인천2호선,,,
마전,,,,,126.666998,37.597566,3204,인천2호선,,,
검단사거리,,,,,126.657108,37.60185,3203,인천2호선,,,
왕길,,,,,126.642696,37.59518,3202,인천2호선,,,
검단오류(검단산업단지),,,,,126.627178,37.594877,3201,인천2호선,,,
송도달빛축제공원,,,,,126.62597,37.407143,3139,인천1호선,,,
국제업무지구,,,,,126.630347,37.399907,3138,인천1호선,,,
센트럴파크,,,,,126.634729,37.393054,3137,인천1호선,,,
인천대입구,,,,,126.639484,37.386007,3136,인천1호선,,,
지식정보단지,,,,,126.645168,37.378384,3135,인천1호선,,,
테크노파크,,,,,126.656365,37.382268,3134,인천1호선,,,
캠퍼스타운,,,,,126.661673,37.387855,3133,인천1호선,,,
동막,,,,,126.674005,37.397878,3132,인천1호선,,,
동춘,,,,,126.681015,37.404737,3131,인천1호선,,,
원인재,,,,,126.687869,37.412333,3130,인천1호선,,,
신연수,,,,,126.693863,37.41804,3129,인천1호선,,,
선학,,,,,126.698863,37.426684,3128,인천1호선,,,
문학경기장,,,,,126.698579,37.434935,3127,인천1호선,,,
인천터미널,,,,,126.699706,37.442383,3126,인천1호선,,,
예술회관,,,,,126.701012,37.449396,3125,인천1호선,,,
인천시청,,,,,126.702143,37.457263,3124,인천1호선,,,
간석오거리,,,,,126.707938,37.467048,3123,인천1호선,,,
부평삼거리,,,,,126.710208,37.477679,3122,인천1호선,,,
동수,,,,,126.718247,37.485312,3121,인천1호선,,,
부평,,,,,126.723453,37.490535,3120,인천1호선,,,
부평시장,,,,,126.722244,37.498383,3119,인천1호선,,,
부평구청,,,,,126.720555,37.508407,3118,인천1호선,,,
갈산,,,,,126.721514,37.517268,3117,인천1호선,,,
작전,,,,,126.722527,37.530415,3116,인천1호선,,,
경인교대입구,,,,,126.722597,37.538157,3115,인천1호선,,,
계산,,,,,126.728128,37.543238,3114,인천1호선,,,
임학,,,,,126.738665,37.545059,3113,인천1호선,,,
박촌,,,,,126.745077,37.553703,3112,인천1호선,,,
귤현,,,,,126.742654,37.566379,3111,인천1호선,,,
계양,,,,,126.73578,37.571449,3110,인천1호선,,,
남위례,,,,,127.13977,37.4624,2828,8호선,,,
모란,,,,,127.129837,37.433824,2827,8호선,,,
수진,,,,,127.140722,37.437428,2826,8호선,,,
신흥,,,,,127.147564,37.440918,2825,8호선,,,
단대오거리,,,,,127.156866,37.44521,2824,8호선,,,
남한산성입구(성남법원.검찰청),,,,,127.159816,37.451535,2823,8호선,,,
산성,,,,,127.149908,37.457122,2822,8호선,,,
복정,,,,,127.126732,37.471052,2821,8호선,,,
장지,,,,,127.126191,37.478703,2820,8호선,,,
문정,,,,,127.1225,37.485855,2819,8호선,,,
가락시장,,,,,127.118398,37.492888,2818,8호선,,,
송파,,,,,127.112183,37.499703,2817,8호선,,,
